hidden_dim,num_layers,loss_type,runtime_sec,raw_mae,raw_rmse,raw_r2,raw_pearson_r,raw_pearson_p,raw_spearman_rho,cal_mae,cal_rmse,cal_r2,cal_pearson_r,cal_pearson_p,cal_spearman_rho
32,1,variance_mse,289.1,0.1352,0.176,-0.3016,0.217,0.023409339433693374,0.1621,0.1215,0.1541,0.0031,0.279,0.0033087768954072326,0.1888
32,2,variance_mse,465.8,0.1519,0.187,-0.4686,0.1213,0.20886007118658026,0.0774,0.1404,0.1708,-0.2251,0.1483,0.12382555422885984,0.0854
64,2,variance_mse,572.4,0.151,0.1881,-0.4864,0.1645,0.0873354772092273,0.149,0.1395,0.1742,-0.2748,0.1819,0.05836973112809934,0.1521
64,3,variance_mse,584.3,0.1533,0.1918,-0.5445,0.0889,0.35777348230660244,0.0318,0.1352,0.1711,-0.2292,0.0873,0.36689601621166645,0.0422
64,2,mse,450.6,0.159,0.2013,-0.702,0.0818,0.3978111135251241,0.0242,0.1446,0.1826,-0.4,0.1246,0.19678150778126016,0.0627
64,2,huber,485.8,0.1563,0.1899,-0.5143,0.1088,0.2598823727512554,0.0751,0.1401,0.1739,-0.2697,0.1731,0.07189979675662432,0.0958
